id,weight:float,answer:direction,timeStamp:DateTime,position:vector2,headDirection:vector3,DistanceToWalls:floatList,Score:float,myPartsNodes:vector2List,otherSnakePartsNode:vector2List,levelScore:float,fruitPos:vector2,inTrackToCollide:bool
0,1,left,27/08/2025 18:39:13,0/0,-1/0/0,0 0 29 18,10,26/9 27/9 28/9,3/9 2/9 1/9,0,22/10,True
1,1,left,27/08/2025 18:39:14,25/9,-1/0/0,25 9 4 9,10,25/9 26/9 27/9,4/9 3/9 2/9,0,22/10,False
2,1,left,27/08/2025 18:39:14,24/9,-1/0/0,24 9 5 9,10,24/9 25/9 26/9,5/9 4/9 3/9,0,22/10,False
3,1,left,27/08/2025 18:39:14,23/9,-1/0/0,23 9 6 9,10,23/9 24/9 25/9,6/9 5/9 4/9,0,22/10,False
4,1,left,27/08/2025 18:39:15,22/9,-1/0/0,22 9 7 9,10,22/9 23/9 24/9,7/9 6/9 5/9,0,22/10,False
5,1,left,27/08/2025 18:39:15,21/9,-1/0/0,21 9 8 9,10,21/9 22/9 23/9,8/9 7/9 6/9,0,22/10,False
6,1,left,27/08/2025 18:39:15,20/9,-1/0/0,20 9 9 9,10,20/9 21/9 22/9,9/9 8/9 7/9,0,22/10,False
7,1,down,27/08/2025 18:39:15,19/9,-1/0/0,19 9 10 9,10,19/9 20/9 21/9,10/9 9/9 8/9,0,22/10,False
8,1,down,27/08/2025 18:39:15,19/10,0/0/-1,19 10 10 8,10,19/10 19/9 20/9,11/9 10/9 9/9,0,22/10,False
9,1,right,27/08/2025 18:39:16,19/11,0/0/-1,19 11 10 7,10,19/11 19/10 19/9,12/9 11/9 10/9,0,22/10,False
10,1,right,27/08/2025 18:39:16,20/11,1/0/0,20 11 9 7,10,20/11 19/11 19/10,13/9 12/9 11/9,0,22/10,False
11,1,right,27/08/2025 18:39:16,21/11,1/0/0,21 11 8 7,10,21/11 20/11 19/11,14/9 13/9 12/9,0,22/10,False
12,1,up,27/08/2025 18:39:16,22/11,1/0/0,22 11 7 7,10,22/11 21/11 20/11,15/9 14/9 13/9,0,22/10,False
13,1,up,27/08/2025 18:39:16,22/10,0/0/1,22 10 7 8,10,22/10 22/11,16/9 15/9 14/9,100,13/8,False
14,1,up,27/08/2025 18:39:17,22/9,0/0/1,22 9 7 9,10,22/9 22/10 22/11 21/11,17/9 16/9 15/9,100,13/8,False
15,1,up,27/08/2025 18:39:17,22/8,0/0/1,22 8 7 10,10,22/8 22/9 22/10 22/11,17/8 17/9 16/9,100,13/8,False
16,1,up,27/08/2025 18:39:17,22/7,0/0/1,22 7 7 11,10,22/7 22/8 22/9 22/10,17/7 17/8 17/9,100,13/8,False
17,1,up,27/08/2025 18:39:17,22/6,0/0/1,22 6 7 12,10,22/6 22/7 22/8 22/9,16/7 17/7 17/8,100,13/8,False
18,1,up,27/08/2025 18:39:17,22/5,0/0/1,22 5 7 13,10,22/5 22/6 22/7 22/8,15/7 16/7 17/7,100,13/8,True
19,1,up,27/08/2025 18:39:18,22/4,0/0/1,22 4 7 14,10,22/4 22/5 22/6 22/7,14/7 15/7 16/7,100,13/8,True
20,1,left,27/08/2025 18:39:18,22/3,0/0/1,22 3 7 15,10,22/3 22/4 22/5 22/6,13/7 14/7 15/7,100,13/8,True
21,1,left,27/08/2025 18:39:18,21/3,-1/0/0,21 3 8 15,10,21/3 22/3 22/4 22/5,13/8 13/7,100,11/8,False
22,1,left,27/08/2025 18:39:18,20/3,-1/0/0,20 3 9 15,10,20/3 21/3 22/3 22/4,13/9 13/8 13/7 14/7,100,11/8,False
23,1,left,27/08/2025 18:39:18,19/3,-1/0/0,19 3 10 15,10,19/3 20/3 21/3 22/3,13/10 13/9 13/8 13/7,100,11/8,False
24,1,left,27/08/2025 18:39:19,18/3,-1/0/0,18 3 11 15,10,18/3 19/3 20/3 21/3,13/11 13/10 13/9 13/8,100,11/8,False
25,1,left,27/08/2025 18:39:19,17/3,-1/0/0,17 3 12 15,10,17/3 18/3 19/3 20/3,12/11 13/11 13/10 13/9,100,11/8,False
26,1,left,27/08/2025 18:39:19,16/3,-1/0/0,16 3 13 15,10,16/3 17/3 18/3 19/3,11/11 12/11 13/11 13/10,100,11/8,False
27,1,left,27/08/2025 18:39:19,15/3,-1/0/0,15 3 14 15,10,15/3 16/3 17/3 18/3,10/11 11/11 12/11 13/11,100,11/8,False
28,1,left,27/08/2025 18:39:19,14/3,-1/0/0,14 3 15 15,10,14/3 15/3 16/3 17/3,10/10 10/11 11/11 12/11,100,11/8,False
29,1,left,27/08/2025 18:39:20,13/3,-1/0/0,13 3 16 15,10,13/3 14/3 15/3 16/3,10/9 10/10 10/11 11/11,100,11/8,False
30,1,left,27/08/2025 18:39:20,12/3,-1/0/0,12 3 17 15,10,12/3 13/3 14/3 15/3,10/8 10/9 10/10 10/11,100,11/8,False
31,1,left,27/08/2025 18:39:20,11/3,-1/0/0,11 3 18 15,10,11/3 12/3 13/3 14/3,11/8 10/8 10/9,100,21/9,False
32,1,left,27/08/2025 18:39:20,10/3,-1/0/0,10 3 19 15,10,10/3 11/3 12/3 13/3,12/8 11/8 10/8 10/9 10/10,100,21/9,False
33,1,left,27/08/2025 18:39:20,9/3,-1/0/0,9 3 20 15,10,9/3 10/3 11/3 12/3,13/8 12/8 11/8 10/8 10/9,100,21/9,False
34,1,down,27/08/2025 18:39:21,8/3,-1/0/0,8 3 21 15,10,8/3 9/3 10/3 11/3,14/8 13/8 12/8 11/8 10/8,100,21/9,False
35,1,down,27/08/2025 18:39:21,8/4,0/0/-1,8 4 21 14,10,8/4 8/3 9/3 10/3,15/8 14/8 13/8 12/8 11/8,100,21/9,False
36,1,down,27/08/2025 18:39:21,8/5,0/0/-1,8 5 21 13,10,8/5 8/4 8/3 9/3,16/8 15/8 14/8 13/8 12/8,100,21/9,False
