id,weight:float,answer:direction,timeStamp:DateTime,position:vector2,headDirection:vector3,Score:float,levelScore:float,numberOfParts:float,fruitRelPos:directionList,fruitDis:float,checkCollisions:boolList
0,1,left,08/09/2025 17:21:36,0/0,1/0/0,10,0,3,right down ,23,False True False True
1,1,left,08/09/2025 17:21:36,4/9,1/0/0,10,0,3,right up ,26,False True False False
2,1,left,08/09/2025 17:21:36,5/9,1/0/0,10,0,3,right up ,25,False True False False
3,1,up,08/09/2025 17:21:36,6/9,1/0/0,10,0,3,right up ,24,False True False False
4,1,up,08/09/2025 17:21:36,6/8,0/0/1,10,0,3,right up ,23,False False True False
5,1,up,08/09/2025 17:21:37,6/7,0/0/1,10,0,3,right up ,22,False False True False
6,1,up,08/09/2025 17:21:37,6/6,0/0/1,10,0,3,right up ,21,False False True False
7,1,up,08/09/2025 17:21:37,6/5,0/0/1,10,0,3,right up ,20,False False True False
8,1,up,08/09/2025 17:21:37,6/4,0/0/1,10,0,3,right up ,19,False False True False
9,1,up,08/09/2025 17:21:37,6/3,0/0/1,10,0,3,right up ,18,False False True False
10,1,up,08/09/2025 17:21:38,6/2,0/0/1,10,0,3,right up ,17,False False True False
11,1,right,08/09/2025 17:21:38,6/1,0/0/1,10,0,3,right null ,16,False False True True
12,1,right,08/09/2025 17:21:38,7/1,1/0/0,10,0,3,right null ,15,False True False True
13,1,right,08/09/2025 17:21:38,8/1,1/0/0,10,0,3,right null ,14,False True False True
14,1,right,08/09/2025 17:21:38,9/1,1/0/0,10,0,3,right null ,13,False True False True
15,1,right,08/09/2025 17:21:39,10/1,1/0/0,10,0,3,right null ,12,False True False True
16,1,right,08/09/2025 17:21:39,11/1,1/0/0,10,0,3,right null ,11,False True False True
17,1,right,08/09/2025 17:21:39,12/1,1/0/0,10,0,3,right null ,10,False True False True
18,1,right,08/09/2025 17:21:39,13/1,1/0/0,10,0,3,right null ,9,False True False True
19,1,right,08/09/2025 17:21:39,14/1,1/0/0,10,0,3,right null ,8,False True False True
20,1,right,08/09/2025 17:21:40,15/1,1/0/0,10,0,3,right null ,7,False True False True
21,1,right,08/09/2025 17:21:40,16/1,1/0/0,10,0,3,right null ,6,False True False True
22,1,right,08/09/2025 17:21:40,17/1,1/0/0,10,0,3,right null ,5,False True False True
23,1,right,08/09/2025 17:21:40,18/1,1/0/0,10,0,3,right null ,4,False True False True
24,1,right,08/09/2025 17:21:40,19/1,1/0/0,10,0,3,right null ,3,False True False True
25,1,right,08/09/2025 17:21:41,20/1,1/0/0,10,0,3,right null ,2,False True False True
26,1,right,08/09/2025 17:21:41,21/1,1/0/0,10,0,3,right null ,1,False True False True
27,1,down,08/09/2025 17:21:41,22/1,1/0/0,10,100,4,left down ,15,False True False True
28,1,down,08/09/2025 17:21:41,22/2,0/0/-1,10,100,4,left down ,14,False False False True
29,1,down,08/09/2025 17:21:41,22/3,0/0/-1,10,100,4,left down ,13,False False False True
30,1,down,08/09/2025 17:21:42,22/4,0/0/-1,10,100,4,left null ,12,False False False True
31,1,down,08/09/2025 17:21:42,22/5,0/0/-1,10,100,4,left up ,13,False False False True
32,1,left,08/09/2025 17:21:42,22/6,0/0/-1,10,100,4,left up ,14,False False False True
33,1,left,08/09/2025 17:21:42,21/6,-1/0/0,10,100,4,left up ,13,True False False False
34,1,left,08/09/2025 17:21:42,20/6,-1/0/0,10,100,4,left up ,12,True False False False
35,1,left,08/09/2025 17:21:43,19/6,-1/0/0,10,100,4,left up ,11,True False False False
36,1,left,08/09/2025 17:21:43,18/6,-1/0/0,10,100,4,left up ,10,True False False False
37,1,left,08/09/2025 17:21:43,17/6,-1/0/0,10,100,4,left up ,9,True False False False
38,1,left,08/09/2025 17:21:43,16/6,-1/0/0,10,100,4,left up ,8,True False False False
39,1,left,08/09/2025 17:21:43,15/6,-1/0/0,10,100,4,left up ,7,True False False False
40,1,left,08/09/2025 17:21:44,14/6,-1/0/0,10,100,4,left up ,6,True False False False
41,1,left,08/09/2025 17:21:44,13/6,-1/0/0,10,100,4,left up ,5,True False False False
42,1,left,08/09/2025 17:21:44,12/6,-1/0/0,10,100,4,left up ,4,True False False False
43,1,left,08/09/2025 17:21:44,11/6,-1/0/0,10,100,4,left up ,3,True False False False
44,1,up,08/09/2025 17:21:44,10/6,-1/0/0,10,100,4,null up ,2,True False False False
45,1,up,08/09/2025 17:21:45,10/5,0/0/1,10,100,4,null up ,1,False False True False
46,1,right,08/09/2025 17:21:45,10/4,0/0/1,10,200,5,right up ,8,False False True False
47,1,right,08/09/2025 17:21:45,11/4,1/0/0,10,200,5,right up ,7,False True False False
48,1,right,08/09/2025 17:21:45,12/4,1/0/0,10,200,5,right up ,6,False True False False
49,1,right,08/09/2025 17:21:45,13/4,1/0/0,10,200,5,right up ,5,False True False False
50,1,right,08/09/2025 17:21:46,14/4,1/0/0,10,200,5,right up ,4,False True False False
51,1,right,08/09/2025 17:21:46,15/4,1/0/0,10,200,5,right up ,3,False True False False
52,1,right,08/09/2025 17:21:46,16/4,1/0/0,10,200,5,right up ,2,False True False False
53,1,up,08/09/2025 17:21:46,17/4,1/0/0,10,200,5,null up ,1,False True False False
54,1,up,08/09/2025 17:21:46,17/3,0/0/1,10,300,6,left down ,16,False False True False
55,1,left,08/09/2025 17:21:47,17/2,0/0/1,10,300,6,left down ,17,False False True False
56,1,left,08/09/2025 17:21:47,16/2,-1/0/0,10,300,6,left down ,16,True False False False
57,1,left,08/09/2025 17:21:47,15/2,-1/0/0,10,300,6,left down ,15,True False False False
58,1,left,08/09/2025 17:21:47,14/2,-1/0/0,10,300,6,left down ,14,True False False False
59,1,left,08/09/2025 17:21:47,13/2,-1/0/0,10,300,6,left down ,13,True False False False
60,1,left,08/09/2025 17:21:48,12/2,-1/0/0,10,300,6,left down ,12,True False False False
61,1,left,08/09/2025 17:21:48,11/2,-1/0/0,10,300,6,left down ,11,True False False False
62,1,left,08/09/2025 17:21:48,10/2,-1/0/0,10,300,6,left down ,10,True False False False
63,1,left,08/09/2025 17:21:48,9/2,-1/0/0,10,300,6,left down ,9,True False False False
64,1,left,08/09/2025 17:21:48,8/2,-1/0/0,10,300,6,left down ,8,True False False False
65,1,left,08/09/2025 17:21:49,7/2,-1/0/0,10,300,6,left down ,7,True False False False
66,1,left,08/09/2025 17:21:49,6/2,-1/0/0,10,300,6,left down ,6,True False False False
