id,weight:float,answer:direction,timeStamp:DateTime,position:vector2,headDirection:vector3,DistanceToWalls:floatList,Score:float,myPartsNodes:vector2List,otherSnakePartsNode:vector2List,levelScore:float,fruitPos:vector2,inTrackToCollide:bool
0,1,left,27/08/2025 18:39:14,0/0,1/0/0,0 0 29 18,10,3/9 2/9 1/9,25/9 26/9 27/9,0,22/10,True
1,1,left,27/08/2025 18:39:14,4/9,1/0/0,4 9 25 9,10,4/9 3/9 2/9,24/9 25/9 26/9,0,22/10,False
2,1,left,27/08/2025 18:39:14,5/9,1/0/0,5 9 24 9,10,5/9 4/9 3/9,23/9 24/9 25/9,0,22/10,False
3,1,left,27/08/2025 18:39:14,6/9,1/0/0,6 9 23 9,10,6/9 5/9 4/9,22/9 23/9 24/9,0,22/10,False
4,1,left,27/08/2025 18:39:15,7/9,1/0/0,7 9 22 9,10,7/9 6/9 5/9,21/9 22/9 23/9,0,22/10,False
5,1,left,27/08/2025 18:39:15,8/9,1/0/0,8 9 21 9,10,8/9 7/9 6/9,20/9 21/9 22/9,0,22/10,False
6,1,left,27/08/2025 18:39:15,9/9,1/0/0,9 9 20 9,10,9/9 8/9 7/9,19/9 20/9 21/9,0,22/10,False
7,1,left,27/08/2025 18:39:15,10/9,1/0/0,10 9 19 9,10,10/9 9/9 8/9,19/10 19/9 20/9,0,22/10,False
8,1,left,27/08/2025 18:39:15,11/9,1/0/0,11 9 18 9,10,11/9 10/9 9/9,19/11 19/10 19/9,0,22/10,False
9,1,left,27/08/2025 18:39:16,12/9,1/0/0,12 9 17 9,10,12/9 11/9 10/9,20/11 19/11 19/10,0,22/10,False
10,1,left,27/08/2025 18:39:16,13/9,1/0/0,13 9 16 9,10,13/9 12/9 11/9,21/11 20/11 19/11,0,22/10,False
11,1,left,27/08/2025 18:39:16,14/9,1/0/0,14 9 15 9,10,14/9 13/9 12/9,22/11 21/11 20/11,0,22/10,False
12,1,left,27/08/2025 18:39:16,15/9,1/0/0,15 9 14 9,10,15/9 14/9 13/9,22/10 22/11,0,22/10,False
13,1,left,27/08/2025 18:39:16,16/9,1/0/0,16 9 13 9,10,16/9 15/9 14/9,22/9 22/10 22/11 21/11,0,13/8,False
14,1,up,27/08/2025 18:39:17,17/9,1/0/0,17 9 12 9,10,17/9 16/9 15/9,22/8 22/9 22/10 22/11,0,13/8,False
15,1,up,27/08/2025 18:39:17,17/8,0/0/1,17 8 12 10,10,17/8 17/9 16/9,22/7 22/8 22/9 22/10,0,13/8,False
16,1,left,27/08/2025 18:39:17,17/7,0/0/1,17 7 12 11,10,17/7 17/8 17/9,22/6 22/7 22/8 22/9,0,13/8,False
17,1,left,27/08/2025 18:39:17,16/7,-1/0/0,16 7 13 11,10,16/7 17/7 17/8,22/5 22/6 22/7 22/8,0,13/8,False
18,1,left,27/08/2025 18:39:17,15/7,-1/0/0,15 7 14 11,10,15/7 16/7 17/7,22/4 22/5 22/6 22/7,0,13/8,False
19,1,left,27/08/2025 18:39:18,14/7,-1/0/0,14 7 15 11,10,14/7 15/7 16/7,22/3 22/4 22/5 22/6,0,13/8,False
20,1,down,27/08/2025 18:39:18,13/7,-1/0/0,13 7 16 11,10,13/7 14/7 15/7,21/3 22/3 22/4 22/5,0,13/8,False
21,1,down,27/08/2025 18:39:18,13/8,0/0/-1,13 8 16 10,10,13/8 13/7,20/3 21/3 22/3 22/4,100,11/8,False
22,1,down,27/08/2025 18:39:18,13/9,0/0/-1,13 9 16 9,10,13/9 13/8 13/7 14/7,19/3 20/3 21/3 22/3,100,11/8,False
23,1,down,27/08/2025 18:39:18,13/10,0/0/-1,13 10 16 8,10,13/10 13/9 13/8 13/7,18/3 19/3 20/3 21/3,100,11/8,False
24,1,left,27/08/2025 18:39:19,13/11,0/0/-1,13 11 16 7,10,13/11 13/10 13/9 13/8,17/3 18/3 19/3 20/3,100,11/8,False
25,1,left,27/08/2025 18:39:19,12/11,-1/0/0,12 11 17 7,10,12/11 13/11 13/10 13/9,16/3 17/3 18/3 19/3,100,11/8,False
26,1,left,27/08/2025 18:39:19,11/11,-1/0/0,11 11 18 7,10,11/11 12/11 13/11 13/10,15/3 16/3 17/3 18/3,100,11/8,False
27,1,up,27/08/2025 18:39:19,10/11,-1/0/0,10 11 19 7,10,10/11 11/11 12/11 13/11,14/3 15/3 16/3 17/3,100,11/8,False
28,1,up,27/08/2025 18:39:19,10/10,0/0/1,10 10 19 8,10,10/10 10/11 11/11 12/11,13/3 14/3 15/3 16/3,100,11/8,False
29,1,up,27/08/2025 18:39:20,10/9,0/0/1,10 9 19 9,10,10/9 10/10 10/11 11/11,12/3 13/3 14/3 15/3,100,11/8,False
30,1,right,27/08/2025 18:39:20,10/8,0/0/1,10 8 19 10,10,10/8 10/9 10/10 10/11,11/3 12/3 13/3 14/3,100,11/8,False
31,1,right,27/08/2025 18:39:20,11/8,1/0/0,11 8 18 10,10,11/8 10/8 10/9,10/3 11/3 12/3 13/3,200,21/9,False
32,1,right,27/08/2025 18:39:20,12/8,1/0/0,12 8 17 10,10,12/8 11/8 10/8 10/9 10/10,9/3 10/3 11/3 12/3,200,21/9,False
33,1,right,27/08/2025 18:39:20,13/8,1/0/0,13 8 16 10,10,13/8 12/8 11/8 10/8 10/9,8/3 9/3 10/3 11/3,200,21/9,False
34,1,right,27/08/2025 18:39:21,14/8,1/0/0,14 8 15 10,10,14/8 13/8 12/8 11/8 10/8,8/4 8/3 9/3 10/3,200,21/9,False
35,1,right,27/08/2025 18:39:21,15/8,1/0/0,15 8 14 10,10,15/8 14/8 13/8 12/8 11/8,8/5 8/4 8/3 9/3,200,21/9,False
36,1,right,27/08/2025 18:39:21,16/8,1/0/0,16 8 13 10,10,16/8 15/8 14/8 13/8 12/8,8/6 8/5 8/4 8/3,200,21/9,False
37,1,right,27/08/2025 18:39:21,17/8,1/0/0,17 8 12 10,10,17/8 16/8 15/8 14/8 13/8,8/7 8/6 8/5 8/4,200,21/9,False
38,1,right,27/08/2025 18:39:21,18/8,1/0/0,18 8 11 10,10,18/8 17/8 16/8 15/8 14/8,8/8 8/7 8/6 8/5,200,21/9,False
39,1,right,27/08/2025 18:39:22,19/8,1/0/0,19 8 10 10,10,19/8 18/8 17/8 16/8 15/8,8/9 8/8 8/7 8/6,200,21/9,False
40,1,right,27/08/2025 18:39:22,20/8,1/0/0,20 8 9 10,10,20/8 19/8 18/8 17/8 16/8,8/10 8/9 8/8 8/7,200,21/9,False
