id,weight:float,answer:direction,position:vector2,headDirection:vector3,DistanceToWalls:floatList,Score:float,myPartsNodes:vector2List,otherSnakePartsNode:vector2List,levelScore:float,fruitPos:vector2,inTrackToCollide:bool
0,1,left,25/9,-1/0/0,25 9 4 9,10,25/9 26/9 27/9,4/9 3/9 2/9,0,21/8,False
1,1,left,25/10,0/0/-1,25 10 4 8,10,25/10 25/9 26/9,5/9 4/9 3/9,0,21/8,False
2,1,left,25/11,0/0/-1,25 11 4 7,10,25/11 25/10 25/9,6/9 5/9 4/9,0,21/8,False
3,1,left,25/12,0/0/-1,25 12 4 6,10,25/12 25/11 25/10,7/9 6/9 5/9,0,21/8,False
4,1,left,25/13,0/0/-1,25 13 4 5,10,25/13 25/12 25/11,8/9 7/9 6/9,0,21/8,True
5,1,left,24/13,-1/0/0,24 13 5 5,10,24/13 25/13 25/12,9/9 8/9 7/9,0,21/8,False
6,1,left,23/13,-1/0/0,23 13 6 5,10,23/13 24/13 25/13,10/9 9/9 8/9,0,21/8,False
7,1,left,22/13,-1/0/0,22 13 7 5,10,22/13 23/13 24/13,11/9 10/9 9/9,0,21/8,False
8,1,up,21/13,-1/0/0,21 13 8 5,10,21/13 22/13 23/13,12/9 11/9 10/9,0,21/8,False
9,1,up,21/12,0/0/1,21 12 8 6,10,21/12 21/13 22/13,13/9 12/9 11/9,0,21/8,False
10,1,up,21/11,0/0/1,21 11 8 7,10,21/11 21/12 21/13,13/8 13/9 12/9,0,21/8,False
11,1,up,21/10,0/0/1,21 10 8 8,10,21/10 21/11 21/12,13/7 13/8 13/9,0,21/8,False
12,1,up,21/9,0/0/1,21 9 8 9,10,21/9 21/10 21/11,13/6 13/7 13/8,0,21/8,False
13,1,up,21/8,0/0/1,21 8 8 10,10,21/8 21/9,12/6 13/6 13/7,100,15/15,False
14,1,up,21/7,0/0/1,21 7 8 11,10,21/7 21/8 21/9 21/10,11/6 12/6 13/6,100,15/15,False
15,1,down,21/6,0/0/1,21 6 8 12,10,21/6 21/7 21/8 21/9,10/6 11/6 12/6,100,15/15,False
16,1,down,21/5,0/0/1,21 5 8 13,10,21/5 21/6 21/7 21/8,10/7 10/6 11/6,100,15/15,True
17,1,left,21/4,0/0/1,21 4 8 14,10,21/4 21/5 21/6 21/7,10/8 10/7 10/6,100,15/15,True
18,1,left,20/4,-1/0/0,20 4 9 14,10,20/4 21/4 21/5 21/6,10/9 10/8 10/7,100,15/15,False
19,1,left,19/4,-1/0/0,19 4 10 14,10,19/4 20/4 21/4 21/5,10/10 10/9 10/8,100,15/15,False
20,1,left,18/4,-1/0/0,18 4 11 14,10,18/4 19/4 20/4 21/4,10/11 10/10 10/9,100,15/15,False
21,1,left,17/4,-1/0/0,17 4 12 14,10,17/4 18/4 19/4 20/4,10/12 10/11 10/10,100,15/15,False
22,1,left,16/4,-1/0/0,16 4 13 14,10,16/4 17/4 18/4 19/4,9/12 10/12 10/11,100,15/15,False
23,1,left,15/4,-1/0/0,15 4 14 14,10,15/4 16/4 17/4 18/4,8/12 9/12 10/12,100,15/15,False
24,1,down,14/4,-1/0/0,14 4 15 14,10,14/4 15/4 16/4 17/4,7/12 8/12 9/12,100,15/15,False
25,1,down,14/5,0/0/-1,14 5 15 13,10,14/5 14/4 15/4 16/4,6/12 7/12 8/12,100,15/15,False
26,1,down,14/6,0/0/-1,14 6 15 12,10,14/6 14/5 14/4 15/4,5/12 6/12 7/12,100,15/15,False
27,1,down,14/7,0/0/-1,14 7 15 11,10,14/7 14/6 14/5 14/4,4/12 5/12 6/12,100,15/15,False
28,1,down,14/8,0/0/-1,14 8 15 10,10,14/8 14/7 14/6 14/5,4/11 4/12 5/12,100,15/15,False
29,1,down,14/9,0/0/-1,14 9 15 9,10,14/9 14/8 14/7 14/6,4/10 4/11 4/12,100,15/15,False
30,1,right,14/10,0/0/-1,14 10 15 8,10,14/10 14/9 14/8 14/7,4/9 4/10 4/11,100,15/15,False
31,1,down,15/10,1/0/0,15 10 14 8,10,15/10 14/10 14/9 14/8,4/8 4/9 4/10,100,15/15,False
32,1,down,15/11,0/0/-1,15 11 14 7,10,15/11 15/10 14/10 14/9,4/7 4/8 4/9,100,15/15,False
33,1,down,15/12,0/0/-1,15 12 14 6,10,15/12 15/11 15/10 14/10,4/6 4/7 4/8,100,15/15,False
34,1,down,15/13,0/0/-1,15 13 14 5,10,15/13 15/12 15/11 15/10,4/5 4/6 4/7,100,15/15,True
35,1,down,15/14,0/0/-1,15 14 14 4,10,15/14 15/13 15/12 15/11,4/4 4/5 4/6,100,15/15,True
36,1,down,15/15,0/0/-1,15 15 14 3,10,15/15 15/14 15/13,5/4 4/4 4/5,200,18/6,True
37,1,right,15/16,0/0/-1,15 16 14 2,10,15/16 15/15 15/14 15/13 15/12,6/4 5/4 4/4,200,18/6,True
38,1,right,16/16,1/0/0,16 16 13 2,10,16/16 15/16 15/15 15/14 15/13,7/4 6/4 5/4,200,18/6,False
39,1,right,17/16,1/0/0,17 16 12 2,10,17/16 16/16 15/16 15/15 15/14,8/4 7/4 6/4,200,18/6,False
40,1,up,18/16,1/0/0,18 16 11 2,10,18/16 17/16 16/16 15/16 15/15,9/4 8/4 7/4,200,18/6,False
41,1,up,18/15,0/0/1,18 15 11 3,10,18/15 18/16 17/16 16/16 15/16,10/4 9/4 8/4,200,18/6,False
42,1,up,18/14,0/0/1,18 14 11 4,10,18/14 18/15 18/16 17/16 16/16,11/4 10/4 9/4,200,18/6,False
43,1,up,18/13,0/0/1,18 13 11 5,10,18/13 18/14 18/15 18/16 17/16,11/3 11/4 10/4,200,18/6,False
44,1,up,18/12,0/0/1,18 12 11 6,10,18/12 18/13 18/14 18/15 18/16,10/3 11/3 11/4,200,18/6,False
45,1,up,18/11,0/0/1,18 11 11 7,10,18/11 18/12 18/13 18/14 18/15,9/3 10/3 11/3,200,18/6,False
46,1,up,18/10,0/0/1,18 10 11 8,10,18/10 18/11 18/12 18/13 18/14,8/3 9/3 10/3,200,18/6,False
47,1,up,18/9,0/0/1,18 9 11 9,10,18/9 18/10 18/11 18/12 18/13,7/3 8/3 9/3,200,18/6,False
48,1,up,18/8,0/0/1,18 8 11 10,10,18/8 18/9 18/10 18/11 18/12,6/3 7/3 8/3,200,18/6,False
49,1,up,18/7,0/0/1,18 7 11 11,10,18/7 18/8 18/9 18/10 18/11,6/4 6/3 7/3,200,18/6,False
50,1,up,18/6,0/0/1,18 6 11 12,10,18/6 18/7 18/8 18/9,6/5 6/4 6/3,300,5/4,False
51,1,up,18/5,0/0/1,18 5 11 13,10,18/5 18/6 18/7 18/8 18/9 18/10,6/6 6/5 6/4,300,5/4,True
52,1,left,18/4,0/0/1,18 4 11 14,10,18/4 18/5 18/6 18/7 18/8 18/9,7/6 6/6 6/5,300,5/4,True
53,1,left,17/4,-1/0/0,17 4 12 14,10,17/4 18/4 18/5 18/6 18/7 18/8,8/6 7/6 6/6,300,5/4,False
54,1,left,16/4,-1/0/0,16 4 13 14,10,16/4 17/4 18/4 18/5 18/6 18/7,9/6 8/6 7/6,300,5/4,False
55,1,left,15/4,-1/0/0,15 4 14 14,10,15/4 16/4 17/4 18/4 18/5 18/6,10/6 9/6 8/6,300,5/4,False
56,1,left,14/4,-1/0/0,14 4 15 14,10,14/4 15/4 16/4 17/4 18/4 18/5,11/6 10/6 9/6,300,5/4,False
57,1,left,13/4,-1/0/0,13 4 16 14,10,13/4 14/4 15/4 16/4 17/4 18/4,12/6 11/6 10/6,300,5/4,False
58,1,left,12/4,-1/0/0,12 4 17 14,10,12/4 13/4 14/4 15/4 16/4 17/4,13/6 12/6 11/6,300,5/4,False
59,1,left,11/4,-1/0/0,11 4 18 14,10,11/4 12/4 13/4 14/4 15/4 16/4,14/6 13/6 12/6,300,5/4,False
60,1,left,10/4,-1/0/0,10 4 19 14,10,10/4 11/4 12/4 13/4 14/4 15/4,15/6 14/6 13/6,300,5/4,False
61,1,left,9/4,-1/0/0,9 4 20 14,10,9/4 10/4 11/4 12/4 13/4 14/4,16/6 15/6 14/6,300,5/4,False
62,1,left,8/4,-1/0/0,8 4 21 14,10,8/4 9/4 10/4 11/4 12/4 13/4,17/6 16/6 15/6,300,5/4,False
63,1,left,7/4,-1/0/0,7 4 22 14,10,7/4 8/4 9/4 10/4 11/4 12/4,18/6 17/6 16/6,300,5/4,False
64,1,left,6/4,-1/0/0,6 4 23 14,10,6/4 7/4 8/4 9/4 10/4 11/4,18/7 18/6 17/6,300,5/4,False
65,1,down,5/4,-1/0/0,5 4 24 14,10,5/4 6/4 7/4 8/4 9/4,18/8 18/7 18/6,400,14/1,False
66,1,down,5/5,0/0/-1,5 5 24 13,10,5/5 5/4 6/4 7/4 8/4 9/4 10/4,18/9 18/8 18/7,400,14/1,False
67,1,down,5/6,0/0/-1,5 6 24 12,10,5/6 5/5 5/4 6/4 7/4 8/4 9/4,18/10 18/9 18/8,400,14/1,False
68,1,right,5/7,0/0/-1,5 7 24 11,10,5/7 5/6 5/5 5/4 6/4 7/4 8/4,18/11 18/10 18/9,400,14/1,False
69,1,right,6/7,1/0/0,6 7 23 11,10,6/7 5/7 5/6 5/5 5/4 6/4 7/4,18/12 18/11 18/10,400,14/1,False
70,1,right,7/7,1/0/0,7 7 22 11,10,7/7 6/7 5/7 5/6 5/5 5/4 6/4,18/13 18/12 18/11,400,14/1,False
71,1,up,8/7,1/0/0,8 7 21 11,10,8/7 7/7 6/7 5/7 5/6 5/5 5/4,18/14 18/13 18/12,400,14/1,False
72,1,up,8/6,0/0/1,8 6 21 12,10,8/6 8/7 7/7 6/7 5/7 5/6 5/5,18/15 18/14 18/13,400,14/1,False
73,1,up,8/5,0/0/1,8 5 21 13,10,8/5 8/6 8/7 7/7 6/7 5/7 5/6,18/16 18/15 18/14,400,14/1,True
74,1,up,8/4,0/0/1,8 4 21 14,10,8/4 8/5 8/6 8/7 7/7 6/7 5/7,19/16 18/16 18/15,400,14/1,True
75,1,up,8/3,0/0/1,8 3 21 15,10,8/3 8/4 8/5 8/6 8/7 7/7 6/7,20/16 19/16 18/16,400,14/1,True
76,1,up,8/2,0/0/1,8 2 21 16,10,8/2 8/3 8/4 8/5 8/6 8/7 7/7,21/16 20/16 19/16,400,14/1,True
77,1,right,8/1,0/0/1,8 1 21 17,10,8/1 8/2 8/3 8/4 8/5 8/6 8/7,22/16 21/16 20/16,400,14/1,True
78,1,right,9/1,1/0/0,9 1 20 17,10,9/1 8/1 8/2 8/3 8/4 8/5 8/6,23/16 22/16 21/16,400,14/1,False
79,1,right,10/1,1/0/0,10 1 19 17,10,10/1 9/1 8/1 8/2 8/3 8/4 8/5,24/16 23/16 22/16,400,14/1,False
80,1,right,11/1,1/0/0,11 1 18 17,10,11/1 10/1 9/1 8/1 8/2 8/3 8/4,25/16 24/16 23/16,400,14/1,False
81,1,right,12/1,1/0/0,12 1 17 17,10,12/1 11/1 10/1 9/1 8/1 8/2 8/3,25/15 25/16 24/16,400,14/1,False
82,1,right,13/1,1/0/0,13 1 16 17,10,13/1 12/1 11/1 10/1 9/1 8/1 8/2,25/14 25/15 25/16,400,14/1,False
83,1,left,14/1,1/0/0,14 1 15 17,10,14/1 13/1 12/1 11/1 10/1 9/1,25/13 25/14 25/15,500,6/9,False
84,1,left,15/1,1/0/0,15 1 14 17,10,15/1 14/1 13/1 12/1 11/1 10/1 9/1 8/1,25/12 25/13 25/14,500,6/9,False
85,1,down,16/1,1/0/0,16 1 13 17,10,16/1 15/1 14/1 13/1 12/1 11/1 10/1 9/1,25/11 25/12 25/13,500,6/9,False
86,1,left,16/2,0/0/-1,16 2 13 16,10,16/2 16/1 15/1 14/1 13/1 12/1 11/1 10/1,25/10 25/11 25/12,500,6/9,False
87,1,left,15/2,-1/0/0,15 2 14 16,10,15/2 16/2 16/1 15/1 14/1 13/1 12/1 11/1,25/9 25/10 25/11,500,6/9,False
88,1,left,14/2,-1/0/0,14 2 15 16,10,14/2 15/2 16/2 16/1 15/1 14/1 13/1 12/1,25/8 25/9 25/10,500,6/9,False
89,1,left,13/2,-1/0/0,13 2 16 16,10,13/2 14/2 15/2 16/2 16/1 15/1 14/1 13/1,25/7 25/8 25/9,500,6/9,False
90,1,left,12/2,-1/0/0,12 2 17 16,10,12/2 13/2 14/2 15/2 16/2 16/1 15/1 14/1,25/6 25/7 25/8,500,6/9,False
91,1,left,11/2,-1/0/0,11 2 18 16,10,11/2 12/2 13/2 14/2 15/2 16/2 16/1 15/1,25/5 25/6 25/7,500,6/9,False
92,1,left,10/2,-1/0/0,10 2 19 16,10,10/2 11/2 12/2 13/2 14/2 15/2 16/2 16/1,25/4 25/5 25/6,500,6/9,False
93,1,left,9/2,-1/0/0,9 2 20 16,10,9/2 10/2 11/2 12/2 13/2 14/2 15/2 16/2,26/4 25/4 25/5,500,6/9,False
94,1,left,8/2,-1/0/0,8 2 21 16,10,8/2 9/2 10/2 11/2 12/2 13/2 14/2 15/2,27/4 26/4 25/4,500,6/9,False
95,1,left,7/2,-1/0/0,7 2 22 16,10,7/2 8/2 9/2 10/2 11/2 12/2 13/2 14/2,28/4 27/4 26/4,500,6/9,False
96,1,left,6/2,-1/0/0,6 2 23 16,10,6/2 7/2 8/2 9/2 10/2 11/2 12/2 13/2,28/3 28/4 27/4,500,6/9,False
97,1,left,5/2,-1/0/0,5 2 24 16,10,5/2 6/2 7/2 8/2 9/2 10/2 11/2 12/2,28/2 28/3 28/4,500,6/9,False
98,1,down,4/2,-1/0/0,4 2 25 16,10,4/2 5/2 6/2 7/2 8/2 9/2 10/2 11/2,27/2 28/2 28/3,500,6/9,True
99,1,down,4/3,0/0/-1,4 3 25 15,10,4/3 4/2 5/2 6/2 7/2 8/2 9/2 10/2,26/2 27/2 28/2,500,6/9,False
100,1,down,4/4,0/0/-1,4 4 25 14,10,4/4 4/3 4/2 5/2 6/2 7/2 8/2 9/2,25/2 26/2 27/2,500,6/9,False
101,1,down,4/5,0/0/-1,4 5 25 13,10,4/5 4/4 4/3 4/2 5/2 6/2 7/2 8/2,24/2 25/2 26/2,500,6/9,False
102,1,down,4/6,0/0/-1,4 6 25 12,10,4/6 4/5 4/4 4/3 4/2 5/2 6/2 7/2,23/2 24/2 25/2,500,6/9,False
103,1,down,4/7,0/0/-1,4 7 25 11,10,4/7 4/6 4/5 4/4 4/3 4/2 5/2 6/2,22/2 23/2 24/2,500,6/9,False
104,1,right,4/8,0/0/-1,4 8 25 10,10,4/8 4/7 4/6 4/5 4/4 4/3 4/2 5/2,21/2 22/2 23/2,500,6/9,False
105,1,right,5/8,1/0/0,5 8 24 10,10,5/8 4/8 4/7 4/6 4/5 4/4 4/3 4/2,20/2 21/2 22/2,500,6/9,False
106,1,down,6/8,1/0/0,6 8 23 10,10,6/8 5/8 4/8 4/7 4/6 4/5 4/4 4/3,19/2 20/2 21/2,500,6/9,False
107,1,down,6/9,0/0/-1,6 9 23 9,10,6/9 6/8 5/8 4/8 4/7 4/6 4/5,18/2 19/2 20/2,600,8/2,False
108,1,right,6/10,0/0/-1,6 10 23 8,10,6/10 6/9 6/8 5/8 4/8 4/7 4/6 4/5 4/4,17/2 18/2 19/2,600,8/2,False
109,1,right,7/10,1/0/0,7 10 22 8,10,7/10 6/10 6/9 6/8 5/8 4/8 4/7 4/6 4/5,16/2 17/2 18/2,600,8/2,False
110,1,right,8/10,1/0/0,8 10 21 8,10,8/10 7/10 6/10 6/9 6/8 5/8 4/8 4/7 4/6,15/2 16/2 17/2,600,8/2,False
111,1,right,9/10,1/0/0,9 10 20 8,10,9/10 8/10 7/10 6/10 6/9 6/8 5/8 4/8 4/7,15/3 15/2 16/2,600,8/2,False
112,1,right,10/10,1/0/0,10 10 19 8,10,10/10 9/10 8/10 7/10 6/10 6/9 6/8 5/8 4/8,15/4 15/3 15/2,600,8/2,False
