id,weight:float,answer:direction,timeStamp:DateTime,position:vector2,headDirection:vector3,Score:float,levelScore:float,numberOfParts:float,fruitRelPos:directionList,fruitDis:float,checkCollisions:boolList
0,1,left,08/09/2025 21:23:27,0/0,-1/0/0,10,0,3,right down ,12,False True False True
1,1,left,08/09/2025 21:23:28,25/9,-1/0/0,10,0,3,left up ,22,True False False False
2,1,left,08/09/2025 21:23:28,24/9,-1/0/0,10,0,3,left up ,21,True False False False
3,1,up,08/09/2025 21:23:28,23/9,-1/0/0,10,0,3,left up ,20,True False False False
4,1,up,08/09/2025 21:23:28,23/8,0/0/1,10,0,3,left up ,19,False False True False
5,1,up,08/09/2025 21:23:28,23/7,0/0/1,10,0,3,left up ,18,False False True False
6,1,left,08/09/2025 21:23:29,23/6,0/0/1,10,0,3,left up ,17,False False True False
7,1,left,08/09/2025 21:23:29,22/6,-1/0/0,10,0,3,left up ,16,True False False False
8,1,left,08/09/2025 21:23:29,21/6,-1/0/0,10,0,3,left up ,15,True False False False
9,1,left,08/09/2025 21:23:29,20/6,-1/0/0,10,0,3,left up ,14,True False False False
10,1,left,08/09/2025 21:23:29,19/6,-1/0/0,10,0,3,left up ,13,True False False False
11,1,down,08/09/2025 21:23:30,18/6,-1/0/0,10,0,3,left up ,12,True False False False
12,1,down,08/09/2025 21:23:30,18/7,0/0/-1,10,0,3,left up ,10,False False False True
13,1,down,08/09/2025 21:23:30,18/8,0/0/-1,10,0,3,left up ,11,False False False True
14,1,left,08/09/2025 21:23:30,18/9,0/0/-1,10,0,3,left up ,12,False False False True
15,1,left,08/09/2025 21:23:30,17/9,-1/0/0,10,0,3,null up ,1,True False False False
16,1,left,08/09/2025 21:23:31,16/9,-1/0/0,10,0,3,right up ,2,True False False False
17,1,left,08/09/2025 21:23:31,15/9,-1/0/0,10,0,3,right up ,3,True False False False
18,1,left,08/09/2025 21:23:31,14/9,-1/0/0,10,0,3,right up ,4,True False False False
19,1,left,08/09/2025 21:23:31,13/9,-1/0/0,10,0,3,right up ,5,True False False False
20,1,down,08/09/2025 21:23:31,12/9,-1/0/0,10,0,3,right up ,6,True False False False
21,1,down,08/09/2025 21:23:32,12/10,0/0/-1,10,0,3,right up ,7,False False False True
22,1,down,08/09/2025 21:23:32,12/11,0/0/-1,10,0,3,right up ,8,False False False True
23,1,down,08/09/2025 21:23:32,12/12,0/0/-1,10,0,3,right up ,9,False False False True
24,1,down,08/09/2025 21:23:32,12/13,0/0/-1,10,0,3,right up ,10,False False False True
25,1,right,08/09/2025 21:23:32,12/14,0/0/-1,10,0,3,right down ,17,False False False True
26,1,right,08/09/2025 21:23:33,13/14,1/0/0,10,0,3,right down ,16,False True False False
27,1,right,08/09/2025 21:23:33,14/14,1/0/0,10,0,3,right down ,15,False True False False
28,1,right,08/09/2025 21:23:33,15/14,1/0/0,10,0,3,right down ,14,False True False False
29,1,down,08/09/2025 21:23:33,16/14,1/0/0,10,0,3,right down ,13,False True False False
